Podaj dystans do przejścia (k, aby zakończyć): 100Podaj długość kroku: 5
0: (x,y) = (-3.71572,3.34565)

1: (x,y) = (-0.91976,-0.799535)

2: (x,y) = (-5.64735,0.828306)

3: (x,y) = (-8.37055,5.02166)

4: (x,y) = (-10.7179,0.606921)

5: (x,y) = (-14.763,3.54585)

6: (x,y) = (-19.257,5.7377)

7: (x,y) = (-18.7343,0.765093)

8: (x,y) = (-19.3437,-4.19764)

9: (x,y) = (-24.2155,-3.07288)

10: (x,y) = (-28.3607,-0.276918)

11: (x,y) = (-33.2326,0.847838)

12: (x,y) = (-28.8178,3.1952)

13: (x,y) = (-26.0946,7.38855)

14: (x,y) = (-21.3962,9.09865)

15: (x,y) = (-16.7283,10.8905)

16: (x,y) = (-20.9685,8.24089)

17: (x,y) = (-19.2584,3.54243)

18: (x,y) = (-18.4762,-1.39601)

19: (x,y) = (-23.2038,-3.02385)

20: (x,y) = (-27.349,-0.227889)

21: (x,y) = (-32.3422,0.0337912)

22: (x,y) = (-32.4294,-4.96545)

23: (x,y) = (-36.4745,-2.02652)

24: (x,y) = (-36.8233,2.9613)

25: (x,y) = (-34.8696,7.56382)

26: (x,y) = (-32.1464,3.37047)

27: (x,y) = (-27.1586,3.02169)

28: (x,y) = (-32.0826,3.88993)

29: (x,y) = (-37.0553,3.36729)

30: (x,y) = (-33.3985,6.77728)

31: (x,y) = (-38.3985,6.77728)

32: (x,y) = (-41.6124,10.6075)

33: (x,y) = (-46.1802,8.57382)

34: (x,y) = (-43.457,4.38046)

35: (x,y) = (-45.6488,-0.113505)

36: (x,y) = (-49.479,-3.32744)

37: (x,y) = (-45.1932,-5.90263)

38: (x,y) = (-49.8917,-4.19253)

39: (x,y) = (-44.9107,-4.62831)

40: (x,y) = (-48.5074,-1.15502)

41: (x,y) = (-45.4983,-5.1482)

42: (x,y) = (-50.2798,-3.68634)

43: (x,y) = (-46.2348,-0.747413)

44: (x,y) = (-41.2469,-0.39863)

45: (x,y) = (-38.3791,3.69713)

46: (x,y) = (-35.6559,7.89048)

47: (x,y) = (-35.4814,12.8874)

48: (x,y) = (-39.4214,9.80913)

49: (x,y) = (-34.8189,7.85547)

50: (x,y) = (-33.357,3.07395)

51: (x,y) = (-36.153,-1.07124)

52: (x,y) = (-40.647,1.12062)

53: (x,y) = (-38.7739,5.75654)

54: (x,y) = (-34.0755,7.46664)

55: (x,y) = (-35.8673,2.79874)

56: (x,y) = (-39.464,6.27203)

57: (x,y) = (-44.2936,4.97793)

58: (x,y) = (-46.5636,9.43296)

59: (x,y) = (-51.5605,9.60746)

60: (x,y) = (-46.8926,11.3993)

61: (x,y) = (-51.5911,13.1094)

62: (x,y) = (-46.5919,13.0221)

63: (x,y) = (-51.0066,15.3695)

64: (x,y) = (-53.8026,11.2243)

65: (x,y) = (-58.7752,11.747)

66: (x,y) = (-54.7301,14.6859)

67: (x,y) = (-50.4443,12.1107)

68: (x,y) = (-54.4893,15.0496)

69: (x,y) = (-52.6975,19.7175)

70: (x,y) = (-48.6524,16.7786)

71: (x,y) = (-53.0672,19.1259)

72: (x,y) = (-48.2608,20.5041)

73: (x,y) = (-51.2699,24.4973)

74: (x,y) = (-56.2084,23.7151)

75: (x,y) = (-57.7534,18.9599)

76: (x,y) = (-54.8856,23.0556)

77: (x,y) = (-56.9192,18.4879)

78: (x,y) = (-52.2208,16.7778)

79: (x,y) = (-51.9591,11.7846)

80: (x,y) = (-55.6159,8.37465)

81: (x,y) = (-59.3894,11.6549)

82: (x,y) = (-63.6753,14.2301)

83: (x,y) = (-65.3854,9.53167)

84: (x,y) = (-69.8404,7.26172)

85: (x,y) = (-74.7485,8.21577)

86: (x,y) = (-69.8404,9.16981)

87: (x,y) = (-73.9362,6.30193)

88: (x,y) = (-76.6593,2.10858)

89: (x,y) = (-79.7377,6.04863)

90: (x,y) = (-75.5925,8.84459)

91: (x,y) = (-76.632,3.95386)

92: (x,y) = (-81.3596,5.5817)

93: (x,y) = (-77.1663,8.30489)

94: (x,y) = (-76.1267,3.41415)

95: (x,y) = (-76.214,-1.58508)

96: (x,y) = (-80.669,-3.85504)

97: (x,y) = (-85.5771,-4.80908)

98: (x,y) = (-88.2267,-9.04932)

99: (x,y) = (-83.2883,-9.83149)

100: (x,y) = (-84.1565,-14.7555)

101: (x,y) = (-88.7591,-16.7092)

102: (x,y) = (-92.8041,-13.7703)

103: (x,y) = (-92.2815,-18.7429)

104: (x,y) = (-96.9174,-20.6159)

105: (x,y) = (-101.449,-22.729)
Po 106 krokach delikwent osiągnął położenie: 
(x,y) = (-101.449,-22.729)
 czyli
(m,a) = (103.964,-167.372)
Średnia długość kroku pozornego = 0.980792
Podaj dystans do przejścia (k, aby zakończyć): Koniec!
